Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
72000000;;XG-0000003078-00122;;;Kredit;370;;MP Møbelcirklen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;370;;MP Møbelcirklen;;;;;;;;;;;;;;;;
79000000;;XG-0000002426-00017;;;Kredit;2.550;;MP Havndal Skole;;;;;;;;;;;;;;;;
90510000;;;;;Debet;2.550;;MP Havndal Skole;;;;;;;;;;;;;;;;
79000000;;xg-2369-22;;;Kredit;1.440;;MP Assentoftskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;1.440;;MP Assentoftskolen;;;;;;;;;;;;;;;;
79000000;;XA-9258200001-00041;;;Kredit;590;;MP Giv Randers et træ;;;;;;;;;;;;;;;;
90510000;;;;;Debet;590;;MP Giv Randers et træ;;;;;;;;;;;;;;;;
79000000;;XG-0000003397-00050;;;Kredit;95;;MP Kaffeautomater-Sprogcenter Randers;;;;;;;;;;;;;;;;
90510000;;;;;Debet;95;;MP Kaffeautomater-Sprogcenter Randers;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00036;;;Kredit;461;;MP Område Syd Lindevænget;;;;;;;;;;;;;;;;
90510000;;;;;Debet;461;;MP Område Syd Lindevænget;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00038;;;Kredit;801;;MP Område Syd Svaleparken;;;;;;;;;;;;;;;;
90510000;;;;;Debet;801;;MP Område Syd Svaleparken;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00044;;;Kredit;2.152;;MP Område Vest Kollektivhuset;;;;;;;;;;;;;;;;
90510000;;;;;Debet;2.152;;MP Område Vest Kollektivhuset;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00048;;;Kredit;110;;MP Område Vest Terneparken;;;;;;;;;;;;;;;;
90510000;;;;;Debet;110;;MP Område Vest Terneparken;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00040;;;Kredit;374;;MP Område Syd Tirsdalen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;374;;MP Område Syd Tirsdalen;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00030;;;Kredit;406;;MP Område Nord Dronningborg;;;;;;;;;;;;;;;;
90510000;;;;;Debet;406;;MP Område Nord Dronningborg;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00046;;;Kredit;1.248;;MP Område Vest Borupvænget;;;;;;;;;;;;;;;;
90510000;;;;;Debet;1.248;;MP Område Vest Borupvænget;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00033;;;Kredit;70;;MP Område Nord Møllevang;;;;;;;;;;;;;;;;
90510000;;;;;Debet;70;;MP Område Nord Møllevang;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00039;;;Kredit;1.115;;MP Thors Bakke;;;;;;;;;;;;;;;;
90510000;;;;;Debet;1.115;;MP Thors Bakke;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00028;;;Kredit;145;;MP Område Nord Bakkegården;;;;;;;;;;;;;;;;
90510000;;;;;Debet;145;;MP Område Nord Bakkegården;;;;;;;;;;;;;;;;
79000000;;XG-0000005094-00001;;;Kredit;320;;MP Randers Fjords Færgefart;;;;;;;;;;;;;;;;
90510000;;;;;Debet;320;;MP Randers Fjords Færgefart;;;;;;;;;;;;;;;;
72000000;;XG-0000004526-00045;;;Kredit;574;;MP Område Vest Kildevang;;;;;;;;;;;;;;;;
90510000;;;;;Debet;574;;MP Område Vest Kildevang;;;;;;;;;;;;;;;;

